name,lat,lng,message,color
York,53.959,-1.0873,York: CLS work here,purple
Warrington,53.39,-2.5969,Warrington: CLS work here,purple
Isle of Wight,50.6938,-1.3047,Isle of Wight: LD & MH Commission,yellow
South Ayrshire,55.3561,-4.6265,South Ayrshire: CLS work here,purple
Scottish Borders,55.5486,-2.7868,Scottish Borders: CLS work here,purple
Cheshire West & Chester,53.225,-2.61,Cheshire West: CLS work here,purple
Stoke on Trent,53.0027,-2.1794,Stoke on Trent: CLS work here,purple
Hartlepool,54.6861,-1.2124,Hartlepool: CLS work here,purple
Gateshead,54.9524,-1.6039,Gateshead: CLS work here,purple
Leeds,53.7997,-1.5492,Leeds: CLS work here,purple
Shetland,60.2972,-1.341,Shetland: CLS work here,gray
Thurrock,51.4879,0.3235,Thurrock: CLS work here,gray
South Lanarkshire,55.5038,-3.7327,South Lanarkshire: CLS work here,purple
Bradford,53.795,-1.759,Bradford: CLS work here,gray
Barking & Dagenham,51.5362,0.0816,Barking & Dagenham: CLS work here,purple
Calderdale,53.73,-1.999,Calderdale: CLS work here,purple
Denbighshire,53.1831,-3.3358,Denbighshire: CLS work here,purple
Doncaster,53.5228,-1.1312,Doncaster: CLS work here,purple
Gwynedd,52.6478,-4.1089,Gwynedd: ELMO Workshop,purple
Orkney,58.9847,-2.9594,Orkney: CLS work here,gray
Swindon,51.5558,-1.7797,Swindon: CLS work here,purple
Stockton on Tees,54.5685,-1.3187,Stockton on Tees: CLS work here,purple
Warwickshire,52.2819,-1.5845,Warwickshire: CLS work here,gray
